QualifyingScene.js:493 Car Position - X: -36, Y: 588, Rotation: 3
QualifyingScene.js:493 Car Position - X: -36, Y: 585, Rotation: 3
QualifyingScene.js:493 Car Position - X: -35, Y: 582, Rotation: 3
QualifyingScene.js:493 Car Position - X: -34, Y: 552, Rotation: 3
QualifyingScene.js:493 Car Position - X: -34, Y: 549, Rotation: 3
QualifyingScene.js:493 Car Position - X: -33, Y: 547, Rotation: 3
QualifyingScene.js:493 Car Position - X: -33, Y: 544, Rotation: 3
QualifyingScene.js:493 Car Position - X: -33, Y: 541, Rotation: 3
QualifyingScene.js:493 Car Position - X: -33, Y: 538, Rotation: 3
QualifyingScene.js:493 Car Position - X: -33, Y: 535, Rotation: 3
QualifyingScene.js:493 Car Position - X: -33, Y: 532, Rotation: 3
QualifyingScene.js:493 Car Position - X: -29, Y: 470, Rotation: 3
QualifyingScene.js:493 Car Position - X: -29, Y: 468, Rotation: 3
QualifyingScene.js:493 Car Position - X: -29, Y: 466, Rotation: 3
QualifyingScene.js:493 Car Position - X: -29, Y: 463, Rotation: 3
QualifyingScene.js:493 Car Position - X: -29, Y: 461, Rotation: 3
QualifyingScene.js:493 Car Position - X: -29, Y: 458, Rotation: 3
QualifyingScene.js:493 Car Position - X: -26, Y: 402, Rotation: 5
QualifyingScene.js:493 Car Position - X: -26, Y: 400, Rotation: 8
QualifyingScene.js:493 Car Position - X: -25, Y: 399, Rotation: 10
QualifyingScene.js:493 Car Position - X: -25, Y: 397, Rotation: 13
QualifyingScene.js:493 Car Position - X: -25, Y: 395, Rotation: 15
QualifyingScene.js:493 Car Position - X: -25, Y: 394, Rotation: 17
QualifyingScene.js:493 Car Position - X: -25, Y: 392, Rotation: 20
QualifyingScene.js:493 Car Position - X: -25, Y: 391, Rotation: 22
QualifyingScene.js:493 Car Position - X: -25, Y: 387, Rotation: 22
QualifyingScene.js:493 Car Position - X: -25, Y: 385, Rotation: 22
QualifyingScene.js:493 Car Position - X: -24, Y: 384, Rotation: 22
QualifyingScene.js:493 Car Position - X: -24, Y: 382, Rotation: 22
QualifyingScene.js:493 Car Position - X: -23, Y: 381, Rotation: 22
QualifyingScene.js:493 Car Position - X: -22, Y: 379, Rotation: 22
